"bed","เตียง"
"picture frame","กรอบภาพ"
"carpet","พรม"
"vase","แจกัน"
"radio","วิทยุ"
"fish tank","ตู้ปลา"
"school","โรงเรียน"
"hospital","โรงพยาบาล"
"bank","ธนาคาร"
"market","ตลาด"
"police station","สถานีตํารวจ"
"train station","สถานีรถไฟ"
"fire station","สถานีดับเพลิง"
"post office","ที่ทำการไปรษณีย์"
"airport","สนามบิน"
"port","ท่าเรือ"
"museum","พิพิธภัณฑ์"
"atm","เอทีเอ็ม"
"big","ใหญ่"
"small","เล็ก"
"huge","ใหญ่มาก"
"tiny","เล็ก"
"thick","หนา"
"thin","บาง"
"heavy","หนัก"
"light","เบา"
"cheap","ราคาถูก"
"expensive","ราคาแพง"
"few","น้อย"
"many","มาก"
"full","เต็ม"
"empty","ว่าง"
"clean","สะอาด"
"dirty","สกปรก"
"quiet","เงียบ"
"loud","เสียงดัง"
"wet","เปียก"
"dry","แห้ง"
"hot","ร้อน"
"cold","เย็น"
"bleed","เลือดออก"
"cough","ไอ"
"stomachache","ปวดท้อง"
"sneeze","จาม"
"fever","ไข้"
"pain","ความเจ็บปวด"
"vomit","อ้วก"
"runny nose","น้ํามูกไหล"
"backache","ปวดหลัง"
"headaches","ปวดหัว"
"sore throat","เจ็บคอ"
"hurt","เจ็บ"
"chili sauce","ซอสพริก"
"pepper","พริกไทย"
"napkin","ผ้าเช็ดปาก"
"toothpick","ไม้จิ้มฟัน"
"chopsticks","ตะเกียบ"
"tomato sauce","ซอสมะเขือเทศ"
"fish sauce","น้ำปลา"
"salt","เกลือ"
"menu","เมนู"
"subway","รถไฟใต้ดิน"
"helicopter","เฮลิคอปเตอร์"
"van","รถตู้"
"motorcycle","มอเตอร์ไซค์"
"truck","รถบรรทุก"
"ship","เรือ"
"tricycle","สามล้อ"
"bicycle","จักรยาน"
"spaceship","ยานอวกาศ"
"bus","รถเมล์"
"plane","เครื่องบิน"
"car","รถยนต์"
"balloon","บอลลูน"
"pick-up","รถกระบะ"
"submarine","เรือดำน้ำ"
"train","รถไฟ"
"boat","เรือ"
"taxi","รถแท็กซี่"
"sky train","รถไฟฟ้า"
"shool bus","รถโรงเรียน"
"sail","เรือใบ"
"fried egg","ไข่เจียว"
"pizza","พิซซ่า"
"hamburger","แฮมเบอร์เกอร์"
"hot dog","ฮ็อทดอก"
"tempura","เทมปุระ"
"macaroni","มักกะโรนี"
"fried rice","ข้าวผัด"
"noodle","ก๋วยเตี๋ยว"
"spaghetti","สปาเก็ตตี้"
"sushi","ซูชิ"
"steamed stuffed bun","ซาลาเปา"
"sunday","วันอาทิตย์"
"monday","วันจันทร์"
"tuesday","วันอังคาร"
"wednesday","วันพุธ"
"thursday","วันพฤหัสบดี"
"friday","วันศุกร์"
"saturday","วันเสาร์"
"dog","หมา"
"cat","แมว"
"chicken","ไก่"
"duck","เป็ด"
"bird","นก"
"pig","หมู"
"rabbit","กระต่าย"
"mouse","หนู"
"cow","วัว"
"buffalo","ควาย"
"horse","ม้า"
"sheep","แกะ"
"goat","แพะ"
"elephant","ช้าง"
"fish","ปลา"
"crab","ปู"
"shrimp","กุ้ง"
"starfish","ปลาดาว"
"goldfish","ปลาทอง"
"butterfly","ผีเสื้อ"
"dragonfly","แมลงปอ"
"bee","ผึ้ง"
"bat","ค้างคาว"
"parrot","นกแก้ว"
"peacock","นกยูง"
"shellfish","หอย"
"eagle","นกอินทรี"
"owl","นกฮูก"
"vulture","อีแร้ง"
"ostrich","นกกระจอกเทศ"
"turkey","ไก่งวง"
"apple","แอปเปิ้ล"
"orange","ส้ม"
"mango","มะม่วง"
"coco","มะพร้าว"
"strawberry","สตรอเบอร์รี่"
"banana","กล้วย"
"grape","องุ่น"
"tamarind","มะขาม"
"lemon","มะนาว"
"pomelo","ส้มโอ"
"papaya","มะละกอ"
"cherry","เชอร์รี่"
"durian","ทุเรียน"
"longan","ลําไย"
"mangosteen","มังคุด"
"pineapple","สัปปะรด"
"rose apple","ชมพู่"
"avocado","อะโวคาโด"
"carrot","แครอท"
"tomato"," มะเขือเทศ"
"pumpkin","ฟักทอง"
"mushroom","เห็ด"
"cucumber","แตงกวา"
"garlic","กระเทียม"
"chili","พริก"
"corn","ข้าวโพด"
"cabbage","กะหล่ําปลี"
"ginger","ขิง"
"broccoli","บรอคโคลี"
"like","ชอบ"
"dislike","ไม่ชอบ"
"hate","เกลียด"
"love","รัก"
"smile","ยิ้ม"
"laugh","หัวเราะ"
"cry","ร้องไห้"
"read","อ่าน"
"write","เขียน"
"speak","พูด"
"listen","ฟังสิ"
"study","เรียน"
"eat","กิน"
"sleep","นอน"
"wake up","ตื่น"
"play","เล่น"
"sing","ร้องเพลง"
"paint","ระบายสี"
"swim","ว่ายน้ํา"
"cook","ทำอาหาร"
"wash","ล้าง"
"clean","ทำความสะอาด"
"january","มกราคม"
"february","กุมภาพันธ์"
"march","มีนาคม"
"april","เมษายน"
"may","พฤษภาคม"
"june","มิถุนายน"
"july","กรกฏาคม"
"august","สิงหาคม"
"september","กันยายน"
"october","ตุลาคม"
"november","พฤศจิกายน"
"december","ธันวาคม"
"head","หัว"
"hair","ผม"
"face","หน้า"
"eye","ตา"
"nose","จมูก"
"mouth","ปาก"
"ear","หู"
"neck","คอ"
"shoulder","ไหล่"
"chest","หน้าอก"
"arm","แขน"
"hand","มือ"
"stomach","ท้อง"
"leg","ขา"
"foot","เท้า"
"white","สีขาว"
"black","สีดํา"
"blue","สีน้ําเงิน"
"green","สีเขียว"
"pink","สีชมพู"
"red","สีแดง"
"orange","สีส้ม"
"brown","สีน้ําตาล"
"yellow","สีเหลือง"
"purple","สีม่วง"
"seeing a movie","ดูหนัง"
"reading","อ่านหนังสือ"
"gardening","ทําสวน"
"surfing the internet","ท่องอินเทอร์เน็ต"
"listening to music","ฟังเพลง"
"drawing","วาดภาพ"
"cooking","ทําอาหาร"
"playing sports","เล่นกีฬา"
"watching tv","ดูทีวี"
"knitting","ถักไหมพรม"
"singing","ร้องเพลง"
"taking photos","ถ่ายภาพ"
"painting","วาดภาพ"
"playing with pet","เล่นกับสัตว์เลี้ยง"
